date,from state,to state
6/30/2016 0:00, DOWN, UP
7/2/2016 0:00, DOWN, UP
7/4/2016 0:00, DOWN, DOWN
7/5/2016 0:00, DOWN, DOWN
7/6/2016 0:00, DOWN, UP
7/8/2016 0:00, DOWN, DOWN
7/9/2016 0:00, DOWN, DOWN
7/10/2016 0:00, DOWN, DOWN
7/11/2016 0:00, DOWN, DOWN
7/12/2016 0:00, DOWN, DOWN
7/13/2016 0:00, DOWN, DOWN
7/14/2016 0:00, DOWN, DOWN
7/15/2016 0:00, DOWN, DOWN
7/16/2016 0:00, DOWN, DOWN
7/17/2016 0:00, DOWN, DOWN
7/18/2016 0:00, DOWN, DOWN
7/19/2016 0:00, DOWN, DOWN
7/20/2016 0:00, DOWN, DOWN
7/21/2016 0:00, DOWN, DOWN
7/22/2016 0:00, DOWN, DOWN
7/23/2016 0:00, DOWN, DOWN
7/24/2016 0:00, DOWN, DOWN
7/25/2016 0:00, DOWN, DOWN
7/26/2016 0:00, DOWN, DOWN
7/27/2016 0:00, DOWN, DOWN
7/28/2016 0:00, DOWN, DOWN
7/29/2016 0:00, DOWN, DOWN
7/30/2016 0:00, DOWN, DOWN
7/31/2016 0:00, DOWN, DOWN
8/1/2016 0:00, DOWN, DOWN
8/2/2016 0:00, DOWN, DOWN
8/3/2016 0:00, DOWN, DOWN
8/4/2016 0:00, DOWN, DOWN
8/5/2016 0:00, DOWN, DOWN
8/6/2016 0:00, DOWN, DOWN
