date,from state,to state
11/30/20140:00,DOWN,DOWN
12/1/20140:00,DOWN,DOWN
12/2/20140:00,DOWN,DOWN
12/3/20140:00,DOWN,DOWN
12/4/20140:00,DOWN,DOWN
12/5/20140:00,DOWN,DOWN
12/6/20140:00,DOWN,DOWN
12/7/20140:00,DOWN,DOWN
12/8/20140:00,DOWN,DOWN
12/9/20140:00,DOWN,DOWN
12/10/20140:00,DOWN,DOWN
12/11/20140:00,DOWN,DOWN
12/12/20140:00,DOWN,DOWN
12/13/20140:00,DOWN,DOWN
12/14/20140:00,DOWN,DOWN
12/15/20140:00,DOWN,DOWN
12/16/20140:00,DOWN,DOWN
12/17/20140:00,DOWN,DOWN
12/18/20140:00,DOWN,DOWN
12/19/20140:00,DOWN,DOWN
12/20/20140:00,DOWN,DOWN
12/21/20140:00,DOWN,DOWN
12/22/20140:00,DOWN,DOWN
12/23/20140:00,DOWN,DOWN
12/24/20140:00,DOWN,DOWN
12/25/20140:00,DOWN,DOWN
12/26/20140:00,DOWN,DOWN
12/27/20140:00,DOWN,DOWN
12/28/20140:00,DOWN,DOWN
12/29/20140:00,DOWN,DOWN
