date,from state,to state
7/27/20140:00,DOWN,DOWN
7/28/20140:00,DOWN,DOWN
7/29/20140:00,DOWN,DOWN
7/30/20140:00,DOWN,DOWN
7/31/20140:00,DOWN,DOWN
8/1/20140:00,DOWN,DOWN
8/2/20140:00,DOWN,DOWN
8/3/20140:00,DOWN,DOWN
8/4/20140:00,DOWN,DOWN
8/5/20140:00,DOWN,DOWN
8/6/20140:00,DOWN,DOWN
8/7/20140:00,DOWN,DOWN
8/8/20140:00,DOWN,DOWN
8/9/20140:00,DOWN,DOWN
8/10/20140:00,DOWN,DOWN
8/11/20140:00,DOWN,DOWN
8/12/20140:00,DOWN,DOWN
8/13/20140:00,DOWN,DOWN
8/14/20140:00,DOWN,DOWN
8/15/20140:00,DOWN,DOWN
8/16/20140:00,DOWN,DOWN
8/17/20140:00,DOWN,UP
8/20/20140:00,DOWN,DOWN
8/21/20140:00,DOWN,DOWN
8/22/20140:00,DOWN,DOWN
8/23/20140:00,DOWN,DOWN
8/24/20140:00,DOWN,DOWN
8/25/20140:00,DOWN,DOWN
8/26/20140:00,DOWN,DOWN
8/27/20140:00,DOWN,DOWN
