date,from state,to state
5/8/2013 0:00, DOWN, UP
5/10/2013 0:00, DOWN, DOWN
5/11/2013 0:00, DOWN, UP
5/13/2013 0:00, DOWN, UP
5/17/2013 0:00, DOWN, DOWN
5/18/2013 0:00, DOWN, DOWN
5/19/2013 0:00, DOWN, DOWN
5/20/2013 0:00, DOWN, DOWN
5/21/2013 0:00, DOWN, UP
5/24/2013 0:00, DOWN, UP
5/26/2013 0:00, DOWN, DOWN
5/27/2013 0:00, DOWN, UP
5/29/2013 0:00, DOWN, DOWN
5/30/2013 0:00, DOWN, DOWN
5/31/2013 0:00, DOWN, DOWN
6/1/2013 0:00, DOWN, DOWN
6/2/2013 0:00, DOWN, DOWN
6/3/2013 0:00, DOWN, DOWN
6/4/2013 0:00, DOWN, DOWN
6/5/2013 0:00, DOWN, DOWN
6/6/2013 0:00, DOWN, DOWN
6/7/2013 0:00, DOWN, DOWN
6/8/2013 0:00, DOWN, UP
6/11/2013 0:00, DOWN, DOWN
6/12/2013 0:00, DOWN, DOWN
6/13/2013 0:00, DOWN, DOWN
6/14/2013 0:00, DOWN, DOWN
6/15/2013 0:00, DOWN, UP
6/18/2013 0:00, DOWN, UP
6/20/2013 0:00, DOWN, DOWN
