date,from state,to state
3/5/20140:00,DOWN,DOWN
3/6/20140:00,DOWN,DOWN
3/7/20140:00,DOWN,UP
3/9/20140:00,DOWN,DOWN
3/10/20140:00,DOWN,DOWN
3/11/20140:00,DOWN,DOWN
3/12/20140:00,DOWN,DOWN
3/13/20140:00,DOWN,DOWN
3/14/20140:00,DOWN,DOWN
3/15/20140:00,DOWN,DOWN
3/16/20140:00,DOWN,DOWN
3/17/20140:00,DOWN,DOWN
3/18/20140:00,DOWN,DOWN
3/19/20140:00,DOWN,DOWN
3/20/20140:00,DOWN,DOWN
3/21/20140:00,DOWN,DOWN
3/22/20140:00,DOWN,UP
3/24/20140:00,DOWN,DOWN
3/25/20140:00,DOWN,DOWN
3/26/20140:00,DOWN,UP
3/28/20140:00,DOWN,DOWN
3/29/20140:00,DOWN,DOWN
3/30/20140:00,DOWN,UP
4/1/20140:00,DOWN,UP
4/3/20140:00,DOWN,UP
4/5/20140:00,DOWN,DOWN
4/6/20140:00,DOWN,DOWN
4/7/20140:00,DOWN,DOWN
4/8/20140:00,DOWN,DOWN
4/9/20140:00,DOWN,UP
