p,p-value
0.0,0.0
0.01,5.41978651551e-38
0.02,2.10344773174e-31
0.03,1.45513543747e-27
0.04,7.53681289083e-25
0.05,9.42978597473e-23
0.06,4.80217712775e-21
0.07,1.31481544851e-19
0.08,2.28521058509e-18
0.09,2.80643168276e-17
0.1,2.62010551815e-16
0.11,1.9591898136e-15
0.12,1.2194242044e-14
0.13,6.50510517117e-14
0.14,3.04260390029e-13
0.15,1.27042986925e-12
0.16,4.80479022864e-12
0.17,1.66560196918e-11
0.18,5.34452509952e-11
0.19,1.6005213852e-10
0.2,4.5045311107e-10
0.21,1.19853417709e-09
0.22,3.03025594485e-09
0.23,7.3123038565e-09
0.24,1.6906214244e-08
0.25,3.75768512565e-08
0.26,8.05316786773e-08
0.27,1.66850680505e-07
0.28,3.34980937036e-07
0.29,6.53055796793e-07
0.3,1.23860162146e-06
0.31,2.28926134539e-06
0.32,4.1295350492e-06
0.33,1.33370543612e-05
0.34,1.64170661789e-05
0.35,2.36660902951e-05
0.36,6.25727372747e-05
0.37,7.50219327601e-05
0.38,0.000102935802326
0.39,0.000215617620977
0.4,0.000269651449317
0.41,0.000551266999737
0.42,0.000650840047829
0.43,0.00126710790168
0.44,0.00144872957984
0.45,0.00266432283369
0.46,0.00299723129348
0.47,0.00520734096052
0.48,0.00581627663383
0.49,0.00958069214689
0.5,0.0161248017102
0.51,0.0167501360905
0.52,0.0266942755941
0.53,0.0280162529578
0.54,0.0425654213489
0.55,0.0450414719496
0.56,0.0656204453348
0.57,0.0955244331143
0.58,0.0980339003838
0.59,0.137467246076
0.6,0.191068059651
0.61,0.192787684446
0.62,0.259427152708
0.63,0.263513188222
0.64,0.344454902441
0.65,0.444488419968
0.66,0.446972807936
0.67,0.562348834452
0.68,0.695870967022
0.69,0.696457876828
0.7,0.842709221042
0.71,1.0
0.72,1.0
0.73,1.0
0.74,1.0
0.75,0.833764325941
0.76,0.674130509614
0.77,0.664260596898
0.78,0.512066634413
0.79,0.49956177768
0.8,0.361920187695
0.81,0.348368852065
0.82,0.232336309756
0.83,0.150736134227
0.84,0.130466221265
0.85,0.117813886274
0.86,0.0605064357601
0.87,0.0492355378514
0.88,0.0220501843651
0.89,0.0135498846615
0.9,0.00778361923792
0.91,0.00412140618969
0.92,0.00197364159401
0.93,0.000832300529301
0.94,0.000297265693016
0.95,8.46474935567e-05
0.96,1.73669729084e-05
0.97,2.12357307647e-06
0.98,1.01075600478e-07
0.99,4.81023596498e-10
1.0,0.0
